date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timin Score,Total Sleep Duration,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (Â°C),Temperature Trend Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Activity Burn,Total Burn,Steps,Equivalent Walking Distance,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
12/20/2021,73,63,34,100,93,74,67,100,21900,24600,2700,2340,10950,8610,71,89,210,12300,2021-12-19T22:39:29.000-05:00,2021-12-20T05:29:29.000-05:00,50.67,42,67,-0.04,-0.01,12.25,88,56,100,78,100,100,915,3087,12463,14544,41880,25320,11820,1740,3120,2520,1.71875,0,73,63,75,84,87,100,51,88,72
12/21/2021,73,57,24,100,98,80,83,100,20400,22020,1620,1650,9060,9690,86,93,570,11010,2021-12-20T22:35:46.000-05:00,2021-12-21T04:42:46.000-05:00,52.97,46,81,-0.08,0.04,12.25,93,67,100,95,100,100,683,2843,12206,11555,38100,27600,13260,2940,1320,3180,1.59375,0,65,63,72,14,77,100,60,90,63
12/22/2021,79,72,48,96,76,83,86,100,22200,26820,4620,3240,13410,5550,138,83,600,12510,2021-12-21T22:45:25.000-05:00,2021-12-22T06:12:25.000-05:00,57.78,51,69,0.04,0.08,13,90,70,95,95,100,100,783,2927,12145,13792,35100,28260,13140,5640,1080,3180,1.65625,1,79,79,72,56,72,100,85,90,100
12/23/2021,83,77,87,98,83,73,78,100,25320,29880,4560,5790,12450,7080,139,85,420,14220,2021-12-22T22:15:24.000-05:00,2021-12-23T06:33:24.000-05:00,53.98,47,60,-0.25,0.01,12.75,80,46,95,78,100,100,193,2305,4100,3320,46620,24840,11160,420,60,3300,1.3125,1,79,89,74,59,65,96,73,89,100
12/24/2021,79,75,74,100,74,74,83,86,24720,30660,5940,4980,10440,9300,125,81,570,14700,2021-12-23T23:20:51.000-05:00,2021-12-24T07:51:51.000-05:00,54.43,47,66,-0.12,-0.03,12.125,90,73,100,78,100,100,745,2861,9796,12449,33240,32100,13440,3960,1140,2520,1.59375,0,81,79,76,88,73,100,74,89,100
12/25/2021,82,80,52,100,93,78,75,100,26100,29280,3180,3540,11940,10620,135,89,360,14640,2021-12-24T22:34:48.000-05:00,2021-12-25T06:42:48.000-05:00,51.21,45,73,-0.07,-0.02,11.875,90,70,100,78,100,100,257,2371,5990,4395,35520,31260,12240,1260,0,6120,1.3125,0,78,87,78,63,67,100,62,90,100
12/26/2021,78,81,47,100,74,69,67,100,26160,32280,6120,3180,12480,10500,167,81,180,14910,2021-12-25T22:26:56.000-05:00,2021-12-26T07:24:56.000-05:00,49.45,43,73,None,0.05,12,92,83,100,78,100,98,340,2462,7653,5901,29100,30600,15720,1860,0,9120,1.375,0,81,77,81,98,73,100,54,91,100
12/27/2021,69,50,36,99,96,74,75,100,18690,20640,1950,2460,8460,7770,91,91,390,10350,2021-12-26T22:36:32.000-05:00,2021-12-27T04:20:32.000-05:00,52.08,46,59,-0.27,-0.02,12.75,89,69,100,78,100,98,532,2669,7158,9043,36540,25740,13680,3600,0,6840,1.5,0,77,55,75,100,77,96,67,89,89
12/28/2021,86,93,73,100,79,75,67,98,28050,32940,4890,4920,13650,9480,183,85,180,15090,2021-12-27T22:37:24.000-05:00,2021-12-28T07:46:24.000-05:00,60.83,54,78,0.5,0.19,12.625,86,78,100,60,96,97,338,2452,7617,6258,31500,31440,15000,1200,60,7200,1.375,0,80,98,81,86,77,62,80,91,99
12/29/2021,84,97,75,100,60,72,75,85,30930,40980,10050,5010,16740,9180,221,75,360,18570,2021-12-28T22:18:52.000-05:00,2021-12-29T09:41:52.000-05:00,56.96,47,71,0.62,0.5,12.875,80,86,100,43,71,95,406,2523,9564,7783,28020,33120,19380,1260,0,4620,1.40625,0,75,93,88,96,81,53,72,91,79
12/30/2021,88,94,66,100,83,84,91,88,29280,34320,5040,4410,12780,12090,134,85,720,15990,2021-12-29T22:55:01.000-05:00,2021-12-30T08:27:01.000-05:00,58.61,53,94,0.34,0.6,12.625,81,98,100,43,71,88,307,2402,6867,5638,18660,30000,15540,960,0,21240,1.34375,0,95,100,92,98,81,76,97,94,100
