date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timin Score,Total Sleep Duration,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (Â°C),Temperature Trend Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Activity Burn,Total Burn,Steps,Equivalent Walking Distance,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
5/25/2022,79,65,96,97,88,78,75,94,22140,25380,3240,6930,8520,6690,126,87,360,13380,2022-05-24T23:28:23.000-04:00,2022-05-25T06:31:23.000-04:00,57.64,49,60,-0.06,0.12,12.625,84,67,100,60,96,97,288,2381,6401,4763,36960,29280,15720,1080,120,3240,1.375,0,67,83,55,49,69,100,70,70,78
5/26/2022,73,51,67,95,98,87,64,100,18810,20280,1470,4470,9630,4710,58,93,150,9990,2022-05-25T23:08:10.000-04:00,2022-05-26T04:46:10.000-04:00,54.94,45,53,-0.06,0.04,12.25,81,50,100,60,96,95,258,2347,5807,4831,45600,23520,15000,120,0,2160,1.375,0,72,68,53,91,74,100,87,69,89
5/27/2022,71,49,63,96,99,78,59,100,18480,19740,1260,4230,8340,5910,81,94,30,9630,2022-05-26T23:08:56.000-04:00,2022-05-27T04:37:56.000-04:00,60.95,52,45,0.24,0.17,12.25,85,57,100,78,96,85,292,2436,6466,5128,42300,21480,18000,720,0,3900,1.40625,0,56,63,50,84,77,84,32,64,37
5/28/2022,60,34,30,97,81,69,64,100,14640,17340,2700,2100,5850,6690,64,84,150,8610,2022-05-27T22:40:56.000-04:00,2022-05-28T03:29:56.000-04:00,55.85,51,50,0.17,0.27,11.25,86,85,100,78,71,80,387,2447,9532,7702,30000,22380,14520,2280,0,17220,1.4375,0,58,35,43,88,80,90,57,62,69
5/29/2022,81,68,95,96,97,75,70,100,23040,25140,2100,6600,10560,5880,113,92,270,12600,2022-05-28T22:43:08.000-04:00,2022-05-29T05:42:08.000-04:00,57.41,46,67,0.13,0.29,12.5,78,97,100,60,40,65,233,2234,5706,4712,20580,22860,9540,960,0,32460,1.3125,0,71,88,46,91,80,93,65,69,94
5/30/2022,74,60,65,95,74,84,67,100,20940,25800,4860,4380,11730,4830,134,81,180,12900,2022-05-29T23:16:58.000-04:00,2022-05-30T06:26:58.000-04:00,54.9,45,61,-0.02,0.21,12.5,76,100,95,60,40,52,72,2014,1727,1365,9780,26220,3720,300,0,46380,1.15625,1,73,70,47,98,86,100,89,72,80
5/31/2022,82,67,98,89,95,82,83,100,22770,25320,2550,7650,10680,4440,140,90,570,13080,2022-05-30T22:48:12.000-04:00,2022-05-31T05:50:12.000-04:00,54.03,45,66,None,0.13,12.5,66,81,100,43,1,54,440,2529,10547,8773,29820,26460,19500,2040,0,8580,1.46875,0,77,90,51,None,93,100,100,77,74
6/1/2022,67,54,52,96,76,69,89,62,19530,23940,4410,3510,10140,5880,121,82,690,11700,2022-06-01T00:59:03.000-04:00,2022-06-01T07:38:03.000-04:00,56.47,47,50,-0.01,0.08,11.375,69,72,100,60,1,57,317,2406,7225,5686,34440,31080,16560,1380,0,2940,1.375,0,67,52,50,88,88,100,65,73,81
6/2/2022,80,63,96,99,99,81,67,100,21660,23040,1380,6690,7140,7830,111,94,210,11370,2022-06-01T23:17:00.000-04:00,2022-06-02T05:41:00.000-04:00,60.64,48,44,0.16,0.14,12.5,64,52,95,60,1,49,171,2237,4064,3021,45900,26580,10200,300,0,3420,1.3125,1,70,85,52,93,87,91,82,67,38
6/3/2022,72,60,72,99,67,67,70,100,21030,26820,5790,4860,7860,8310,123,78,240,12540,2022-06-02T22:04:09.000-04:00,2022-06-03T05:31:09.000-04:00,62.85,52,35,-0.11,0.1,11.5,76,68,100,60,40,77,574,2715,13882,11146,37320,20700,18120,4260,0,6000,1.59375,0,62,65,53,88,91,100,35,55,80
6/4/2022,80,68,85,96,97,83,64,99,22950,24840,1890,5700,11790,5460,102,92,150,12270,2022-06-03T23:36:42.000-04:00,2022-06-04T06:30:42.000-04:00,57.61,49,63,-0.5,-0.11,12.25,79,85,95,43,71,95,310,2324,1782,5332,29640,31620,6540,2820,0,15780,1.34375,1,71,85,57,75,81,88,75,61,80
6/5/2022,83,75,96,95,76,72,91,100,24630,30180,5550,7020,12450,5160,155,82,1050,14910,2022-06-04T22:19:43.000-04:00,2022-06-05T06:42:43.000-04:00,60.9,51,40,0.38,0.04,11.75,85,72,100,60,96,100,1193,3337,17171,19635,34200,24360,17280,3000,3660,3900,1.9375,0,70,93,61,95,84,72,52,51,95
6/6/2022,73,50,79,97,97,74,70,100,18510,20220,1710,5280,6840,6390,109,92,270,10020,2022-06-05T23:53:29.000-04:00,2022-06-06T05:30:29.000-04:00,64.49,58,30,-0.09,0.12,13,86,49,95,78,96,99,240,2347,5666,4092,45300,23460,12780,840,0,4020,1.375,1,45,67,57,1,60,100,1,36,90
6/7/2022,70,52,67,67,99,83,64,100,19020,20280,1260,4470,11190,3360,98,94,150,9990,2022-06-06T23:33:28.000-04:00,2022-06-07T05:11:28.000-04:00,54.14,45,60,0.08,0.16,12.5,83,32,95,78,96,98,158,2271,3658,2445,53400,19320,10380,120,0,3180,1.34375,1,66,60,55,86,64,98,100,43,66
6/8/2022,70,49,56,99,96,69,72,97,18420,20280,1860,3780,6870,7770,76,91,330,10080,2022-06-08T00:16:32.000-04:00,2022-06-08T05:54:32.000-04:00,60.69,55,35,-0.49,-0.08,12.75,87,53,95,78,100,100,734,2880,10170,11841,43800,24600,11460,1440,2340,2760,1.65625,1,54,60,52,82,71,88,23,33,85
6/9/2022,73,60,62,90,95,80,56,100,20970,23340,2370,4200,12270,4500,158,90,1830,12300,2022-06-08T23:00:32.000-04:00,2022-06-09T05:29:32.000-04:00,64.83,53,49,0.38,0.08,12.375,85,40,60,95,100,98,227,2343,5052,3908,50400,20160,11280,960,0,3600,1.375,3,47,68,52,23,62,73,47,36,28
6/10/2022,78,57,96,94,99,88,67,96,20340,21720,1380,7080,8610,4650,91,94,180,10980,2022-06-10T00:03:29.000-04:00,2022-06-10T06:05:29.000-04:00,63.54,53,36,0.13,0.23,13,85,44,95,78,96,97,199,2289,4325,3311,46560,25680,10740,780,60,2580,1.34375,1,55,80,52,81,67,94,32,29,65
6/11/2022,79,60,75,100,100,89,67,100,21090,21900,810,5010,7170,8910,95,96,210,10890,2022-06-10T23:52:22.000-04:00,2022-06-11T05:57:22.000-04:00,59,50,43,-0.07,0.23,12.5,90,95,100,78,71,95,120,2161,2467,1940,19740,7560,6420,300,120,52260,1.28125,0,64,83,52,86,74,100,57,30,93
6/13/2022,62,55,71,77,65,80,1,100,19800,25620,5820,4800,11160,3840,121,77,5670,14970,2022-06-12T22:41:57.000-04:00,2022-06-13T05:48:57.000-04:00,61.34,52,35,0.35,0.27,11.75,84,61,95,78,71,90,265,2328,6397,5037,39900,23700,10140,1440,60,11160,1.34375,1,53,40,52,90,77,75,50,23,65
6/14/2022,77,59,81,96,96,85,70,92,20700,22680,1980,5430,9750,5520,101,91,240,11040,2022-06-14T00:10:57.000-04:00,2022-06-14T06:28:57.000-04:00,57.81,49,34,0.13,0.3,12.375,87,59,95,95,71,87,320,2403,7560,5935,40260,27660,13140,2040,0,3300,1.40625,1,58,78,52,87,81,94,74,16,29
6/15/2022,72,51,61,99,93,73,78,100,18960,21300,2340,4110,6630,8220,75,89,420,10200,2022-06-14T22:42:36.000-04:00,2022-06-15T04:37:36.000-04:00,57.78,48,47,0.02,0.23,11.875,75,45,95,78,40,72,242,2356,5565,4192,47460,20340,13440,600,60,4500,1.375,1,57,65,50,86,81,100,74,24,32
6/16/2022,82,66,71,98,96,82,97,100,22410,24540,2130,4800,10740,6870,119,91,870,12540,2022-06-15T23:17:35.000-04:00,2022-06-16T06:06:35.000-04:00,56.74,48,38,-0.09,0.09,12.25,71,52,100,60,40,60,166,2261,3654,2572,44220,26580,12120,240,0,3240,1.3125,0,65,90,52,82,85,100,74,23,70
6/17/2022,79,68,69,99,97,73,75,100,23040,25080,2040,4620,10170,8250,114,92,360,12570,2022-06-16T23:04:01.000-04:00,2022-06-17T06:02:01.000-04:00,53.29,46,62,-0.07,0.03,12.5,70,56,95,60,40,52,241,2350,5493,4154,42660,27180,13260,840,0,2460,1.375,1,70,82,56,91,91,100,66,40,100
6/18/2022,79,73,65,100,98,74,64,100,24210,26160,1950,4380,9360,10470,139,93,150,12900,2022-06-17T22:47:13.000-04:00,2022-06-18T06:03:13.000-04:00,52.48,44,59,0.27,0.16,12.25,69,49,100,60,40,53,238,2310,5367,3989,46440,25380,10980,1500,0,2100,1.34375,0,77,82,60,88,92,81,98,51,95
6/19/2022,79,68,70,100,95,79,70,100,22830,25260,2430,4680,8970,9180,136,90,240,12360,2022-06-18T22:48:29.000-04:00,2022-06-19T05:49:29.000-04:00,56.1,47,44,0.1,0.23,12,44,1,25,43,1,40,80,2146,1823,1107,64500,13860,6180,0,0,1860,1.25,5,71,82,62,85,95,96,75,52,62
6/20/2022,63,49,29,98,97,87,67,39,18480,20100,1620,1950,9330,7200,104,92,180,9540,2022-06-20T02:21:31.000-04:00,2022-06-20T07:56:31.000-04:00,60.41,53,30,-0.2,0.11,11.5,56,54,100,25,1,42,239,2295,5832,4338,42840,27360,11160,1140,0,3900,1.34375,0,59,42,59,74,99,98,36,41,88
6/21/2022,75,74,73,97,95,71,67,56,24450,27120,2670,4920,13350,6180,121,90,180,449,2022-06-21T00:42:32.000-04:00,2022-06-21T08:14:32.000-04:00,64.24,56,24,0.35,0.18,11.875,50,67,95,1,1,34,65,2047,1444,938,37200,31680,5340,0,0,12180,1.1875,1,62,73,63,87,99,75,22,22,100
6/22/2022,75,68,66,97,93,82,40,88,22830,25680,2850,4410,12120,6300,91,89,2220,452,2022-06-21T23:37:17.000-04:00,2022-06-22T06:45:17.000-04:00,63.32,53,37,0.33,0.34,12.5,46,49,95,1,1,30,112,2133,2622,1869,45780,30360,7080,300,0,2880,1.21875,1,63,73,64,99,94,76,46,19,65
6/23/2022,83,80,56,100,86,81,91,90,25830,30180,4350,3750,12450,9630,95,86,750,483,2022-06-22T23:17:01.000-04:00,2022-06-23T07:40:01.000-04:00,55.26,47,51,-0.09,0.28,11.75,45,46,78,1,1,38,213,2278,5135,3821,45240,27360,8820,1560,0,3420,1.3125,2,76,93,69,91,91,100,93,29,85
6/24/2022,83,89,60,99,100,88,67,63,28140,29160,1020,4050,15840,8250,212,97,180,481,2022-06-24T00:11:29.000-04:00,2022-06-24T08:17:29.000-04:00,58.47,52,69,0.06,0.17,11.75,49,60,100,1,1,36,95,2075,1957,1510,40080,39360,4860,240,120,1740,1.1875,0,73,92,75,85,92,100,39,45,100
6/25/2022,65,52,46,100,65,72,83,64,19140,24720,5580,3090,7470,8580,148,77,540,471,2022-06-25T00:14:00.000-04:00,2022-06-25T07:06:00.000-04:00,65.48,56,50,-0.1,0.08,11.625,51,76,100,1,1,33,122,2065,2727,2051,33780,41520,6720,300,0,4080,1.1875,0,62,47,71,95,89,100,25,50,78
6/26/2022,80,81,97,99,62,71,70,77,26040,34200,8160,7260,10920,7860,195,76,270,634,2022-06-25T22:26:31.000-04:00,2022-06-26T07:56:31.000-04:00,63.14,52,39,0.41,0.25,12.25,68,78,100,25,40,75,524,2589,9177,8926,31860,28680,12060,1560,1320,10920,1.5,0,70,85,75,100,88,70,64,49,63
6/27/2022,64,43,47,96,65,68,89,93,16950,22140,5190,3180,7980,5790,146,77,660,410,2022-06-26T23:47:46.000-04:00,2022-06-27T05:56:46.000-04:00,56.46,48,58,-0.02,0.25,12.25,68,46,95,43,40,81,323,2492,7080,5735,48540,18180,15180,1740,0,2760,1.46875,1,66,45,67,64,98,100,81,61,48
6/28/2022,66,51,51,98,81,73,72,74,18870,22440,3570,3450,8220,7200,138,84,300,388,2022-06-28T00:35:51.000-04:00,2022-06-28T06:49:51.000-04:00,61.88,49,50,0.39,0.36,12.625,84,86,100,60,71,97,637,2718,9807,10789,36240,28980,12900,1620,1800,4860,1.5625,0,64,50,63,76,97,71,81,65,19
6/29/2022,75,61,63,98,100,77,64,100,21300,22260,960,4230,9390,7680,102,96,120,366,2022-06-28T23:31:00.000-04:00,2022-06-29T05:42:00.000-04:00,57.32,49,59,0.05,0.31,12.125,85,64,100,78,96,97,399,2490,9058,7554,38700,24060,11700,3300,120,8520,1.4375,0,69,73,61,44,83,100,81,72,68
6/30/2022,76,68,59,96,98,69,70,100,22830,24540,1710,3930,12960,5940,179,93,270,406,2022-06-29T22:58:29.000-04:00,2022-06-30T05:47:29.000-04:00,55.38,45,61,0.26,0.35,11.875,73,33,60,78,96,96,91,2158,1994,1275,53640,23940,6060,240,0,2520,1.25,3,74,75,62,80,78,82,100,79,47
7/1/2022,75,59,54,98,99,80,72,100,20760,22200,1440,3630,10170,6960,198,94,330,366,2022-06-30T23:15:04.000-04:00,2022-07-01T05:25:04.000-04:00,57.05,49,47,0.29,0.38,12.125,93,65,100,95,100,99,864,2982,13863,14989,37500,19860,15300,2280,2340,9120,1.75,0,71,73,60,84,84,80,88,77,36
7/2/2022,71,59,64,99,81,73,72,78,20820,24900,4080,4320,8640,7860,124,84,300,397,2022-07-02T00:23:42.000-04:00,2022-07-02T07:18:42.000-04:00,57.58,51,51,0.08,0.35,11.875,96,77,100,100,100,99,352,2375,3386,6320,32880,28200,8400,3180,60,13680,1.375,0,66,63,59,26,66,98,72,79,100
7/3/2022,75,58,63,99,100,83,72,83,20640,21780,1140,4260,8250,8130,130,95,330,361,2022-07-03T00:32:06.000-04:00,2022-07-03T06:35:06.000-04:00,55.49,47,45,0.05,0.27,12.125,96,84,100,100,100,98,468,2552,11637,9223,29040,30480,16620,3120,0,7140,1.46875,0,74,73,58,89,66,100,88,77,79
7/4/2022,79,68,76,96,97,78,67,100,22980,24900,1920,5100,11970,5910,187,92,180,412,2022-07-03T22:59:33.000-04:00,2022-07-04T05:54:33.000-04:00,55.81,47,46,0.25,0.3,12.75,86,43,100,95,100,97,248,2374,5736,4261,48780,21240,12360,1140,0,2880,1.375,0,76,83,60,87,62,83,96,75,80
7/5/2022,70,51,39,98,99,78,70,100,18870,20160,1290,2610,9360,6900,115,94,270,335,2022-07-05T00:07:32.000-04:00,2022-07-05T05:43:32.000-04:00,51.64,45,53,-0.28,0.16,12.625,83,40,78,78,100,96,199,2320,4223,3289,48780,21600,12240,360,0,3420,1.34375,2,73,60,57,80,67,95,100,78,85
7/6/2022,71,51,45,97,93,73,86,100,18840,21180,2340,3030,9210,6600,121,89,630,351,2022-07-05T23:54:01.000-04:00,2022-07-06T05:47:01.000-04:00,51.01,45,52,-0.2,0.02,13,80,57,100,60,96,81,209,2306,4492,3495,42180,26700,12960,420,0,4140,1.34375,0,74,63,53,83,72,98,100,79,90
7/7/2022,80,62,80,98,97,85,81,100,21540,23400,1860,5310,9090,7140,67,92,480,388,2022-07-06T23:04:37.000-04:00,2022-07-07T05:34:37.000-04:00,52.16,46,51,-0.16,-0.04,12.125,85,44,95,78,100,96,612,2742,8062,9648,48360,21480,10920,600,2040,3000,1.59375,1,79,85,54,89,76,100,100,78,95
7/8/2022,73,56,60,97,99,79,64,100,19980,21360,1380,3990,9480,6510,139,94,150,354,2022-07-07T23:39:32.000-04:00,2022-07-08T05:35:32.000-04:00,56.4,49,45,0.28,0.16,12.25,80,45,100,60,96,94,170,2278,3762,2474,47520,23580,11580,480,0,3240,1.3125,0,62,68,53,28,69,81,79,75,61
7/9/2022,77,60,71,96,96,74,83,100,21030,23220,2190,4770,10920,5340,183,91,570,400,2022-07-08T22:43:47.000-04:00,2022-07-09T05:10:47.000-04:00,55.3,47,47,0.01,0.24,13.125,85,73,95,60,96,97,617,2704,8412,11718,34260,21300,11820,5700,0,13320,1.5625,1,73,78,53,87,77,100,87,74,71
7/10/2022,70,55,47,97,86,72,72,100,19890,23040,3150,3180,10650,6060,128,86,300,377,2022-07-09T23:28:05.000-04:00,2022-07-10T05:52:05.000-04:00,50.21,44,61,-0.16,0.15,12,85,72,100,60,96,98,611,2690,9718,11379,34200,26400,10620,4620,900,9660,1.5625,0,70,60,53,76,69,100,96,81,66
7/11/2022,76,56,94,96,76,68,97,100,20160,24480,4320,6300,8250,5610,170,82,960,415,2022-07-10T22:33:19.000-04:00,2022-07-11T05:21:19.000-04:00,59.51,48,51,-0.03,0.08,13.25,81,47,100,60,96,98,330,2470,7792,5912,46320,18600,14100,1980,0,5400,1.4375,0,71,75,53,62,62,100,78,81,100
7/12/2022,76,58,69,98,95,73,91,90,20520,22800,2280,4590,8280,7650,123,90,750,378,2022-07-12T00:09:59.000-04:00,2022-07-12T06:29:59.000-04:00,56.75,47,48,0.28,0.22,12.375,85,62,100,78,100,100,957,3088,10763,16016,39360,23520,12720,3720,2820,4260,1.78125,0,73,75,53,79,65,81,100,79,69
7/13/2022,73,49,61,98,98,77,83,100,18390,19860,1470,4110,7290,6990,119,93,540,333,2022-07-12T23:46:35.000-04:00,2022-07-13T05:17:35.000-04:00,58.18,46,52,-0.11,0.22,12.625,80,47,95,78,100,100,166,2246,3670,2690,45960,26880,7680,900,0,4980,1.3125,1,57,68,51,8,49,100,100,80,9
7/14/2022,71,49,50,98,93,78,75,100,18450,20640,2190,3420,7920,7110,82,89,1440,359,2022-07-13T23:23:41.000-04:00,2022-07-14T05:07:41.000-04:00,60.1,51,57,0.1,0.21,12.625,79,37,95,60,96,98,139,2251,3106,2078,51000,22620,9540,240,0,3000,1.3125,1,60,63,49,88,57,96,69,84,4
7/15/2022,84,69,96,95,98,74,99,100,23130,24840,1710,6750,11280,5100,148,93,900,419,2022-07-14T23:18:08.000-04:00,2022-07-15T06:12:08.000-04:00,58.33,49,45,0.48,0.37,12.875,89,66,100,78,100,98,541,2591,7584,9000,36900,28560,9420,600,1740,9180,1.5,0,73,95,52,85,66,64,70,80,80
7/16/2022,68,54,35,95,76,64,83,100,19470,23760,4290,2400,12060,5010,165,82,570,378,2022-07-15T23:43:23.000-04:00,2022-07-16T06:19:23.000-04:00,55.6,48,44,0.1,0.42,12.5,92,83,100,78,100,99,769,2843,11611,15315,28560,32940,15600,7020,0,2280,1.625,0,63,55,51,52,64,97,94,76,46
7/17/2022,76,72,55,97,72,69,78,100,23820,29700,5880,3690,13770,6360,163,80,450,471,2022-07-16T22:13:50.000-04:00,2022-07-17T06:28:50.000-04:00,54.2,46,47,0.02,0.32,13,88,77,78,78,100,100,713,2795,8998,13025,33120,30540,14400,5280,0,3060,1.625,2,71,75,55,71,50,100,100,75,75
7/18/2022,69,57,66,93,67,64,72,100,20310,25920,5610,4440,11250,4620,149,78,300,404,2022-07-17T22:47:37.000-04:00,2022-07-18T05:59:37.000-04:00,50.68,44,58,-0.25,0.1,12.25,84,58,100,78,100,99,217,2310,4635,3512,40920,27900,14640,420,0,2520,1.34375,0,69,58,55,73,41,96,100,80,80
7/19/2022,70,54,79,43,81,77,89,100,19500,23280,3780,5250,12030,2220,162,84,690,399,2022-07-18T23:38:46.000-04:00,2022-07-19T06:06:46.000-04:00,53.59,46,49,-0.56,-0.15,12,88,58,100,78,100,100,776,2903,10878,12576,41100,24720,13320,2040,2460,2760,1.6875,0,71,60,54,91,49,86,100,79,76
7/20/2022,76,56,84,99,96,79,75,92,20130,22200,2070,5640,6690,7800,158,91,360,366,2022-07-20T00:12:10.000-04:00,2022-07-20T06:22:10.000-04:00,52.53,45,54,-0.09,-0.15,12.375,92,58,95,95,100,100,606,2699,8408,9584,41280,28440,9780,1080,1980,3840,1.5625,1,67,75,54,21,41,100,100,81,93
7/21/2022,70,54,41,98,95,70,67,100,19470,21600,2130,2820,9420,7230,125,90,210,354,2022-07-20T22:51:50.000-04:00,2022-07-21T04:51:50.000-04:00,54.08,44,51,-0.23,-0.08,12.125,87,42,78,95,100,100,245,2372,5526,4229,48780,22200,12780,900,0,1740,1.375,2,60,60,53,39,39,97,97,82,29
7/22/2022,72,49,62,100,96,73,78,100,18480,20400,1920,4200,5370,8910,117,91,420,348,2022-07-21T23:22:04.000-04:00,2022-07-22T05:02:04.000-04:00,55.85,48,46,-0.33,-0.09,11.875,87,50,100,78,100,99,413,2535,9973,7886,45300,22080,13260,3360,0,2400,1.46875,0,70,65,51,82,49,94,91,79,91
7/23/2022,84,77,88,100,95,73,78,98,25170,28080,2910,5850,10560,8760,176,90,420,480,2022-07-22T23:02:24.000-04:00,2022-07-23T06:50:24.000-04:00,54.75,43,47,0.49,0.16,12.25,92,86,100,78,100,99,558,2610,9047,10786,28260,31740,14160,4920,0,7320,1.5,0,69,95,56,75,51,63,93,77,26
7/24/2022,70,62,85,73,76,77,32,100,21480,26220,4740,5670,12180,3630,192,82,2400,466,2022-07-23T22:59:23.000-04:00,2022-07-24T06:16:23.000-04:00,55.31,46,43,-0.13,0.22,12,90,84,95,78,100,98,490,2559,8483,9599,28740,28440,12240,4620,0,12360,1.46875,1,69,60,57,85,51,100,100,73,63
7/25/2022,71,63,38,99,88,63,72,100,21840,25140,3300,2580,11490,7770,207,87,330,423,2022-07-24T22:45:46.000-04:00,2022-07-25T05:44:46.000-04:00,51.28,43,63,-0.96,-0.19,11.875,82,43,100,78,100,97,159,2258,3489,2341,47700,26160,9840,120,0,2580,1.3125,0,72,63,58,87,53,73,94,82,77
7/26/2022,74,56,76,94,93,69,81,98,20010,22500,2490,5100,10260,4650,181,89,510,380,2022-07-25T23:51:54.000-04:00,2022-07-26T06:06:54.000-04:00,52.67,45,60,-0.57,-0.5,12.625,90,73,95,78,100,98,781,2881,13663,14238,33900,27960,14340,4260,1380,4560,1.65625,1,75,70,58,88,64,86,100,86,66
7/27/2022,79,67,58,100,97,81,81,96,22800,24780,1980,3900,10230,8670,149,92,1320,430,2022-07-26T23:30:44.000-04:00,2022-07-27T06:23:44.000-04:00,52.76,44,57,0.12,-0.24,12.625,86,74,100,60,100,97,133,2112,2857,2147,33660,39720,7260,660,60,5040,1.21875,0,71,83,60,46,54,95,99,87,55
7/28/2022,82,75,83,97,88,73,83,100,24570,28380,3810,5580,12810,6180,141,87,570,488,2022-07-27T21:10:55.000-04:00,2022-07-28T05:03:55.000-04:00,55.33,44,46,-0.49,-0.14,12.125,87,54,100,78,100,99,599,2689,8616,9753,42900,27120,8880,1440,1860,4200,1.5625,0,79,90,64,100,64,88,100,85,52
7/29/2022,80,65,59,97,100,85,89,100,22170,23460,1290,3930,11820,6420,161,95,660,393,2022-07-28T22:41:20.000-04:00,2022-07-29T05:12:20.000-04:00,52.88,46,70,-0.14,-0.11,12.25,95,75,100,95,100,99,531,2615,8682,10236,33300,23880,13140,4620,0,11460,1.53125,0,73,85,64,40,61,100,100,89,62
7/30/2022,73,49,57,96,98,77,91,99,18390,19740,1350,3840,9030,5520,137,93,750,332,2022-07-30T00:15:29.000-04:00,2022-07-30T05:44:29.000-04:00,62.69,52,41,-0.07,-0.07,12.375,96,88,100,95,100,100,1003,3134,16404,17935,25980,24000,22080,2340,2400,9600,1.8125,0,68,67,61,82,61,100,55,86,77
7/31/2022,71,51,40,97,96,81,75,100,18840,20700,1860,2730,9990,6120,159,91,390,334,2022-07-31T00:12:07.000-04:00,2022-07-31T05:57:07.000-04:00,52.69,47,69,-0.45,-0.13,11.875,92,77,100,95,100,100,803,2838,5396,13254,30000,37860,9360,1620,3000,4560,1.625,0,68,63,58,32,48,90,94,89,89
8/1/2022,76,65,90,96,90,76,37,100,22110,25260,3150,5970,10650,5490,185,88,2280,441,2022-07-31T22:41:17.000-04:00,2022-08-01T05:42:17.000-04:00,53.21,45,60,0.05,-0.07,12.25,84,45,95,95,100,100,142,2225,3146,2249,47340,25620,10860,240,0,2340,1.28125,1,70,75,59,26,42,100,100,90,84
8/2/2022,69,51,40,97,96,70,75,100,18840,20760,1920,2730,10020,6090,146,91,390,345,2022-08-01T23:53:21.000-04:00,2022-08-02T05:39:21.000-04:00,55.22,47,50,0.13,0.07,12.5,86,42,100,78,100,99,197,2282,4665,3447,48720,24660,9720,960,0,2340,1.3125,0,68,58,56,89,53,94,93,89,36
8/3/2022,77,57,88,97,96,71,86,100,20310,22380,2070,5850,7710,6750,145,91,600,377,2022-08-02T23:45:16.000-04:00,2022-08-03T05:58:16.000-04:00,56.23,49,42,0.31,0.28,12.375,87,52,100,78,100,97,112,2143,2633,1779,44340,30720,7020,180,0,4140,1.25,0,73,78,55,84,62,79,78,86,81
8/4/2022,78,71,56,98,74,70,97,100,23700,29100,5400,3780,12960,6960,190,81,930,517,2022-08-03T21:33:33.000-04:00,2022-08-04T05:38:33.000-04:00,52.15,44,65,0.03,0.26,12.5,88,66,95,78,100,97,475,2575,7098,7947,37740,24060,11160,900,1560,10980,1.5,1,81,80,58,93,71,100,100,89,94
8/5/2022,82,68,96,96,98,72,83,100,23010,24840,1830,6660,10380,5970,145,93,570,408,2022-08-04T23:16:57.000-04:00,2022-08-05T06:10:57.000-04:00,57.97,49,40,-0.01,0.18,12.375,85,43,100,78,100,97,520,2660,9181,9040,48240,20340,12360,1260,1620,2580,1.5625,0,74,90,60,59,72,100,77,84,87
8/6/2022,76,60,96,97,88,81,86,63,20940,24060,3120,6960,7230,6750,110,87,630,395,2022-08-06T00:54:01.000-04:00,2022-08-06T07:35:01.000-04:00,58.68,49,43,-0.04,0.09,11.625,93,97,100,78,100,98,678,2731,11134,13377,21480,31500,14040,5940,180,13260,1.5625,0,68,75,60,40,71,100,77,78,77
8/7/2022,81,64,71,96,96,84,97,100,22050,24360,2310,4800,11610,5640,148,91,930,409,2022-08-06T22:55:17.000-04:00,2022-08-07T05:41:17.000-04:00,52.98,44,55,0.16,0.15,12,89,87,100,78,100,100,955,3013,10190,16700,28800,33060,12360,3000,2820,6360,1.71875,0,75,88,61,84,66,91,100,81,48
8/8/2022,79,75,85,96,81,58,83,100,24660,29340,4680,5700,13620,5340,302,84,540,479,2022-08-07T21:03:15.000-04:00,2022-08-08T05:12:15.000-04:00,56.11,43,46,0.25,0.27,12.375,87,63,95,95,100,100,321,2411,7016,5926,38760,23520,10500,2040,300,11280,1.40625,1,68,83,65,24,54,83,97,77,56
8/9/2022,84,81,90,77,95,77,83,92,26160,29220,3060,5970,16350,3840,195,90,540,472,2022-08-08T23:18:14.000-04:00,2022-08-09T07:25:14.000-04:00,54.51,47,52,-0.45,0.06,11.875,88,82,100,100,100,100,584,2685,8703,9491,38880,28620,12660,1020,1860,3360,1.5625,0,81,95,70,83,57,89,90,78,100
8/10/2022,76,60,64,95,95,73,89,100,21090,23400,2310,4320,11700,5070,156,90,660,396,2022-08-09T23:31:23.000-04:00,2022-08-10T06:01:23.000-04:00,53.82,45,51,0.19,0.05,12.25,77,41,78,100,100,99,126,2215,2874,1790,49260,27300,7260,300,0,2280,1.28125,2,71,75,68,46,55,89,100,79,61
8/11/2022,77,54,73,95,98,87,89,100,19680,21060,1380,4890,9630,5160,144,93,660,345,2022-08-10T23:51:04.000-04:00,2022-08-11T05:42:04.000-04:00,53.26,45,50,0.34,0.23,12.5,90,47,100,95,100,97,168,2246,3907,2722,46560,29280,7860,660,0,2040,1.3125,0,76,78,65,89,67,76,100,78,62
